Diameter of Largest Included Sphere (A),Diameter of Largest Free Sphere (A),Diameter of Largest Included Sphere Along Free Sphere Path (A),Unit Cell Volume (A^3),Density (g/cm^3),AV per unit cell (A^3),AV Void Fraction,AV per mass (cm^3/g),NAV per unit cell (A^3),NAV Void Fraction,NAV per mass (cm^3/g),ASA per unit cell (A^2),ASA (m^2/cm^3),ASA per mass (m^2/g),NASA per unit cell (A^2),NASA (m^2/cm^3),NASA per mass (m^2/g),y
64.95135,21.78104,64.79911,1.09E+06,0.202296,915434,0.83834,4.14412,0,0,0,85621.6,784.11,3876.04,1.45786,0.0133508,0.0659963,0
65.22964,21.6983,64.38348,1.06E+06,0.204449,891314,0.842,4.11839,0,0,0,83132.9,785.334,3841.22,0,0,0,0
65.28183,21.68631,65.26072,1.07E+06,0.19093,909722,0.84748,4.43871,0,0,0,83128.4,774.409,4055.99,0,0,0,0
63.8813,21.22434,63.77341,1.02E+06,0.199048,857892,0.8417,4.22864,0,0,0,81395.1,798.589,4012.05,0,0,0,0
61.7481,19.028,61.31362,928411,0.211814,774963,0.83472,3.94081,0,0,0,77846.2,838.489,3958.61,0,0,0,0
69.89239,26.0867,69.1932,1.25E+06,0.168357,1.08E+06,0.86476,5.13646,0,0,0,86979.5,693.953,4121.91,0,0,0,0
65.88681,22.87912,65.88681,1.12E+06,0.184153,954907,0.85006,4.61605,0,0,0,84960.8,756.323,4107.03,0,0,0,0
66.57794,22.81055,65.45589,1.13E+06,0.184563,961901,0.85032,4.60721,0,0,0,85468.7,755.543,4093.69,0,0,0,0
45.16955,32.02163,45.14041,254507,0.303556,198882,0.78144,2.57429,0,0,0,25317.6,994.773,3277.07,0,0,0,0
37.53283,26.77179,37.30771,200803,0.420139,146691,0.73052,1.73876,0,0,0,22968.4,1143.83,2722.5,0,0,0,0
38.46316,27.21086,38.34983,205022,0.408668,149879,0.73104,1.78884,0,0,0,23181.1,1130.66,2766.7,0,0,0,0
38.84456,28.1784,38.84107,210451,0.384499,155469,0.73874,1.92131,0,0,0,23453.6,1114.45,2898.44,0,0,0,0
38.78547,27.91248,38.56267,209930,0.388233,155315,0.73984,1.90566,0,0,0,23596.1,1124,2895.17,0.296547,0.014126,0.0363853,0
43.75008,27.25888,42.13691,233990,0.348547,177392,0.75812,2.17509,0,0,0,25178.4,1076.04,3087.23,0,0,0,0
38.54168,26.68875,38.07721,206244,0.393364,152509,0.73946,1.87984,0,0,0,23303.2,1129.89,2872.37,0.478189,0.0231856,0.0589419,0
43.38353,28.01905,43.38353,236713,0.347676,179968,0.76028,2.18675,0,0,0,25230,1065.85,3065.64,0,0,0,0
